Index,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
103,r3i1p1f2-CNRM,r29i1p1f2-CNRM,r26i1p1f2-CNRM,r27i1p1f1-MIROC6,r26i1p1f2-CNRM,r26i1p1f2-CNRM,r14i1p1f1-NorCPM1,r17i1p1f1-NorCPM1,r17i1p1f1-NorCPM1,r13i1p1f1-IPSL-CM6A-LR,r15i1p1f1-NorCPM1,r5i1p1f1-IPSL-CM6A-LR,r21i1p1f1-IPSL-CM6A-LR,r21i1p1f1-IPSL-CM6A-LR,r26i1p1f2-CNRM,r10i1p1f2-CNRM,r15i1p1f2-CNRM,r47i1p1f1-MIROC6,r14i1p1f2-CNRM,r20i1p1f1-NorCPM1,r19i1p1f1-MIROC6,r19i1p1f1-MIROC6,r19i1p1f1-MIROC6,r38i1p1f1-MIROC6,r12i1p1f2-CNRM,r1i1p1f1-NorCPM1,r7i1p1f1-IPSL-CM6A-LR,r4i1p1f1-IPSL-CM6A-LR,r28i1p1f1-NorCPM1,r21i1p1f2-CNRM,r25i1p1f1-MIROC6,r17i1p1f1-EC-Earth3,r3i1p1f2-CNRM,r9i1p1f1-IPSL-CM6A-LR
104,r19i1p1f1-EC-Earth3,r20i1p1f1-EC-Earth3,r6i1p1f1-MIROC6,r26i1p1f2-CNRM,r14i1p1f1-NorCPM1,r6i1p1f1-MIROC6,r6i1p1f1-MIROC6,r6i1p1f1-MIROC6,r6i1p1f1-IPSL-CM6A-LR,r17i1p1f1-NorCPM1,r3i1p1f1-IPSL-CM6A-LR,r21i1p1f1-IPSL-CM6A-LR,r17i1p1f1-NorCPM1,r17i1p1f1-NorCPM1,r16i1p1f1-NorCPM1,r15i1p1f2-CNRM,r25i1p1f1-MIROC6,r16i1p1f1-NorCPM1,r47i1p1f1-MIROC6,r30i1p1f2-CNRM,r30i1p1f2-CNRM,r38i1p1f1-MIROC6,r3i1p1f1-IPSL-CM6A-LR,r17i1p1f1-IPSL-CM6A-LR,r2i1p1f1-NorCPM1,r49i1p1f1-MIROC6,r28i1p1f1-NorCPM1,r9i1p1f1-IPSL-CM6A-LR,r9i1p1f1-IPSL-CM6A-LR,r9i1p1f1-MRI-ESM2-0,r12i1p1f2-CNRM,r3i1p1f1-EC-Earth3,r27i1p1f2-CNRM,r1i1p1f1-NorCPM1
105,r1i2p1f1-MRI-ESM2-0,r26i1p1f2-CNRM,r20i1p1f1-EC-Earth3,r20i1p1f1-NorCPM1,r17i1p1f1-NorCPM1,r6i1p1f1-IPSL-CM6A-LR,r17i1p1f1-NorCPM1,r5i1p1f1-IPSL-CM6A-LR,r5i1p1f1-IPSL-CM6A-LR,r6i1p1f1-MIROC6,r21i1p1f1-IPSL-CM6A-LR,r17i1p1f1-NorCPM1,r6i1p1f1-MIROC6,r16i1p1f1-NorCPM1,r6i1p1f1-MIROC6,r26i1p1f2-CNRM,r1i1p1f1-EC-Earth3,r26i1p1f2-CNRM,r26i1p1f2-CNRM,r2i1p1f1-NorCPM1,r24i1p1f1-NorCPM1,r20i1p1f1-EC-Earth3,r22i1p1f1-IPSL-CM6A-LR,r21i1p1f1-IPSL-CM6A-LR,r30i1p1f1-NorCPM1,r12i1p1f2-CNRM,r12i1p1f2-CNRM,r12i1p1f2-CNRM,r12i1p1f2-CNRM,r8i1p1f2-CNRM,r9i1p1f1-IPSL-CM6A-LR,r25i1p1f1-MIROC6,r9i1p1f1-IPSL-CM6A-LR,r19i1p1f1-NorCPM1
106,r29i1p1f2-CNRM,r20i1p1f1-NorCPM1,r4i1p1f1-IPSL-CM6A-LR,r6i1p1f1-MIROC6,r12i1p1f2-CNRM,r17i1p1f1-NorCPM1,r5i1p1f1-IPSL-CM6A-LR,r14i1p1f1-NorCPM1,r6i1p1f1-MIROC6,r12i1p1f2-CNRM,r5i1p1f1-IPSL-CM6A-LR,r6i1p1f1-MIROC6,r12i1p1f2-CNRM,r6i1p1f1-MIROC6,r21i1p1f1-IPSL-CM6A-LR,r16i1p1f1-NorCPM1,r16i1p1f1-NorCPM1,r25i1p1f1-MIROC6,r20i1p1f1-EC-Earth3,r12i1p1f2-CNRM,r12i1p1f2-CNRM,r12i1p1f2-CNRM,r12i1p1f2-CNRM,r10i1p1f1-NorCPM1,r20i1p1f1-EC-Earth3,r14i1p1f1-EC-Earth3,r6i1p1f2-CNRM,r16i1p1f1-IPSL-CM6A-LR,r9i1p1f1-MRI-ESM2-0,r12i1p1f2-CNRM,r9i1p1f1-MRI-ESM2-0,r9i1p1f1-IPSL-CM6A-LR,r25i1p1f1-MIROC6,r21i1p1f2-CNRM
107,r9i1p1f1-NorCPM1,r31i1p1f1-MIROC6,r20i1p1f1-NorCPM1,r1i2p1f1-MRI-ESM2-0,r6i1p1f1-MIROC6,r12i1p1f2-CNRM,r12i1p1f2-CNRM,r12i1p1f2-CNRM,r12i1p1f2-CNRM,r5i1p1f1-IPSL-CM6A-LR,r6i1p1f1-MIROC6,r12i1p1f2-CNRM,r1i2p1f1-MRI-ESM2-0,r1i2p1f1-MRI-ESM2-0,r15i1p1f2-CNRM,r20i1p1f1-EC-Earth3,r26i1p1f2-CNRM,r14i1p1f2-CNRM,r23i1p1f1-EC-Earth3,r20i1p1f1-EC-Earth3,r20i1p1f1-EC-Earth3,r24i1p1f1-NorCPM1,r1i1p1f1-EC-Earth3,r9i1p1f2-CNRM,r26i1p1f1-IPSL-CM6A-LR,r9i1p1f2-CNRM,r49i1p1f1-MIROC6,r49i1p1f1-MIROC6,r8i1p1f2-CNRM,r9i1p1f1-IPSL-CM6A-LR,r2i1p1f1-NorCPM1,r3i1p1f2-CNRM,r49i1p1f1-MIROC6,r49i1p1f1-MIROC6
108,r10i1p1f1-IPSL-CM6A-LR,r27i1p1f1-MIROC6,r12i1p1f2-CNRM,r12i1p1f2-CNRM,r6i1p1f1-IPSL-CM6A-LR,r1i2p1f1-MRI-ESM2-0,r20i1p1f1-EC-Earth3,r6i1p1f1-IPSL-CM6A-LR,r20i1p1f1-EC-Earth3,r15i1p1f1-NorCPM1,r12i1p1f2-CNRM,r3i1p1f1-IPSL-CM6A-LR,r20i1p1f1-EC-Earth3,r12i1p1f2-CNRM,r20i1p1f1-EC-Earth3,r6i1p1f1-MIROC6,r14i1p1f2-CNRM,r2i1p1f1-NorCPM1,r2i1p1f1-NorCPM1,r26i1p1f2-CNRM,r26i1p1f2-CNRM,r27i1p1f2-CNRM,r24i1p1f1-NorCPM1,r24i1p1f1-NorCPM1,r25i1p1f1-EC-Earth3,r20i1p1f1-EC-Earth3,r9i1p1f1-IPSL-CM6A-LR,r21i1p1f1-NorCPM1,r9i1p1f1-NorCPM1,r49i1p1f1-MIROC6,r21i1p1f2-CNRM,r12i1p1f2-CNRM,r12i1p1f2-CNRM,r25i1p1f1-MIROC6
109,r6i1p1f2-CNRM,r6i1p1f1-IPSL-CM6A-LR,r4i1p1f1-MRI-ESM2-0,r6i1p1f1-IPSL-CM6A-LR,r5i1p1f1-IPSL-CM6A-LR,r5i1p1f1-IPSL-CM6A-LR,r1i2p1f1-MRI-ESM2-0,r20i1p1f1-EC-Earth3,r14i1p1f2-CNRM,r21i1p1f1-IPSL-CM6A-LR,r17i1p1f1-NorCPM1,r22i1p1f1-NorCPM1,r16i1p1f1-NorCPM1,r20i1p1f1-EC-Earth3,r10i1p1f2-CNRM,r21i1p1f1-IPSL-CM6A-LR,r6i1p1f1-MIROC6,r14i1p1f1-NorCPM1,r12i1p1f2-CNRM,r2i1p1f1-IPSL-CM6A-LR,r20i1p1f1-NorCPM1,r3i1p1f1-IPSL-CM6A-LR,r6i1p1f1-MIROC6,r25i1p1f1-MIROC6,r11i1p1f2-CNRM,r9i1p1f1-IPSL-CM6A-LR,r16i1p1f1-IPSL-CM6A-LR,r28i1p1f1-NorCPM1,r23i1p1f1-NorCPM1,r27i1p1f2-CNRM,r27i1p1f2-CNRM,r27i1p1f2-CNRM,r9i1p1f1-MRI-ESM2-0,r12i1p1f2-CNRM
110,r28i1p1f1-NorCPM1,r20i1p1f1-IPSL-CM6A-LR,r19i1p1f1-EC-Earth3,r20i1p1f1-EC-Earth3,r20i1p1f1-EC-Earth3,r20i1p1f1-EC-Earth3,r6i1p1f1-IPSL-CM6A-LR,r15i1p1f1-NorCPM1,r14i1p1f1-NorCPM1,r20i1p1f1-EC-Earth3,r20i1p1f1-EC-Earth3,r20i1p1f1-EC-Earth3,r14i1p1f1-NorCPM1,r22i1p1f1-IPSL-CM6A-LR,r14i1p1f1-NorCPM1,r14i1p1f1-NorCPM1,r14i1p1f1-NorCPM1,r20i1p1f1-EC-Earth3,r6i1p1f1-MIROC6,r23i1p1f1-EC-Earth3,r26i1p1f1-NorCPM1,r17i1p1f1-IPSL-CM6A-LR,r13i1p1f1-IPSL-CM6A-LR,r12i1p1f2-CNRM,r23i1p1f1-NorCPM1,r11i1p1f2-CNRM,r14i1p1f2-CNRM,r21i1p1f1-IPSL-CM6A-LR,r22i1p1f1-EC-Earth3,r21i1p1f1-NorCPM1,r49i1p1f1-MIROC6,r49i1p1f1-MIROC6,r21i1p1f2-CNRM,r8i1p1f1-IPSL-CM6A-LR
111,r20i1p1f1-NorCPM1,r12i1p1f2-CNRM,r17i1p1f1-IPSL-CM6A-LR,r5i1p1f1-IPSL-CM6A-LR,r1i2p1f1-MRI-ESM2-0,r26i1p1f1-NorCPM1,r15i1p1f1-NorCPM1,r14i1p1f2-CNRM,r15i1p1f1-NorCPM1,r14i1p1f2-CNRM,r14i1p1f2-CNRM,r14i1p1f2-CNRM,r3i1p1f1-IPSL-CM6A-LR,r15i1p1f2-CNRM,r22i1p1f1-IPSL-CM6A-LR,r14i1p1f2-CNRM,r20i1p1f1-EC-Earth3,r6i1p1f1-MIROC6,r25i1p1f1-MIROC6,r6i1p1f1-MIROC6,r6i1p1f1-MIROC6,r6i1p1f1-MIROC6,r21i1p1f1-IPSL-CM6A-LR,r11i1p1f2-CNRM,r1i1p1f1-IPSL-CM6A-LR,r2i1p1f1-NorCPM1,r20i1p1f1-EC-Earth3,r8i1p1f2-CNRM,r21i1p1f1-NorCPM1,r3i1p1f2-CNRM,r17i1p1f1-EC-Earth3,r21i1p1f2-CNRM,r3i1p1f1-EC-Earth3,r17i1p1f1-EC-Earth3
112,r12i1p1f2-CNRM,r6i1p1f2-CNRM,r26i1p1f1-NorCPM1,r14i1p1f2-CNRM,r15i1p1f1-IPSL-CM6A-LR,r15i1p1f1-IPSL-CM6A-LR,r14i1p1f2-CNRM,r1i2p1f1-MRI-ESM2-0,r21i1p1f1-IPSL-CM6A-LR,r14i1p1f1-NorCPM1,r14i1p1f1-NorCPM1,r1i2p1f1-MRI-ESM2-0,r22i1p1f1-IPSL-CM6A-LR,r14i1p1f1-NorCPM1,r12i1p1f2-CNRM,r12i1p1f2-CNRM,r21i1p1f1-IPSL-CM6A-LR,r21i1p1f1-IPSL-CM6A-LR,r21i1p1f1-IPSL-CM6A-LR,r25i1p1f1-MIROC6,r23i1p1f1-EC-Earth3,r22i1p1f1-IPSL-CM6A-LR,r17i1p1f1-IPSL-CM6A-LR,r27i1p1f1-NorCPM1,r8i1p1f2-CNRM,r20i1p1f1-IPSL-CM6A-LR,r20i1p1f1-IPSL-CM6A-LR,r27i1p1f2-CNRM,r49i1p1f1-MIROC6,r22i1p1f1-EC-Earth3,r3i1p1f2-CNRM,r9i1p1f1-MRI-ESM2-0,r21i1p1f1-NorCPM1,r22i1p1f1-EC-Earth3
113,r3i1p1f1-IPSL-CM6A-LR,r13i1p1f1-IPSL-CM6A-LR,r14i1p1f2-CNRM,r17i1p1f1-IPSL-CM6A-LR,r14i1p1f2-CNRM,r15i1p1f1-NorCPM1,r26i1p1f1-NorCPM1,r16i1p1f1-NorCPM1,r16i1p1f1-NorCPM1,r16i1p1f1-NorCPM1,r10i1p1f2-CNRM,r14i1p1f1-NorCPM1,r15i1p1f2-CNRM,r14i1p1f2-CNRM,r3i1p1f1-IPSL-CM6A-LR,r22i1p1f1-IPSL-CM6A-LR,r12i1p1f2-CNRM,r12i1p1f2-CNRM,r14i1p1f1-NorCPM1,r21i1p1f1-IPSL-CM6A-LR,r17i1p1f1-IPSL-CM6A-LR,r26i1p1f1-NorCPM1,r2i1p1f1-IPSL-CM6A-LR,r2i1p1f1-MRI-ESM2-0,r18i1p1f1-IPSL-CM6A-LR,r22i1p1f1-NorCPM1,r8i1p1f2-CNRM,r14i1p1f2-CNRM,r27i1p1f2-CNRM,r2i1p1f1-NorCPM1,r21i1p1f1-NorCPM1,r21i1p1f1-NorCPM1,r22i1p1f1-EC-Earth3,r11i1p1f2-CNRM
114,r31i1p1f1-MIROC6,r14i1p1f2-CNRM,r19i1p1f1-IPSL-CM6A-LR,r15i1p1f1-IPSL-CM6A-LR,r15i1p1f1-NorCPM1,r14i1p1f2-CNRM,r10i1p1f2-CNRM,r21i1p1f1-IPSL-CM6A-LR,r24i1p1f1-IPSL-CM6A-LR,r10i1p1f2-CNRM,r1i2p1f1-MRI-ESM2-0,r22i1p1f1-IPSL-CM6A-LR,r14i1p1f2-CNRM,r3i1p1f1-IPSL-CM6A-LR,r14i1p1f2-CNRM,r3i1p1f1-IPSL-CM6A-LR,r22i1p1f1-IPSL-CM6A-LR,r1i1p1f1-EC-Earth3,r1i1p1f1-EC-Earth3,r22i1p1f1-IPSL-CM6A-LR,r25i1p1f1-MIROC6,r23i1p1f1-EC-Earth3,r14i1p1f1-IPSL-CM6A-LR,r8i1p1f2-CNRM,r15i1p1f1-IPSL-CM6A-LR,r6i1p1f2-CNRM,r11i1p1f2-CNRM,r20i1p1f1-IPSL-CM6A-LR,r3i1p1f2-CNRM,r11i1p1f2-CNRM,r3i1p1f1-MRI-ESM2-0,r3i1p1f1-MRI-ESM2-0,r9i1p1f2-CNRM,r9i1p1f2-CNRM
115,r14i1p1f2-CNRM,r27i1p1f1-NorCPM1,r6i1p1f1-IPSL-CM6A-LR,r24i1p1f1-IPSL-CM6A-LR,r24i1p1f1-IPSL-CM6A-LR,r24i1p1f1-IPSL-CM6A-LR,r24i1p1f1-IPSL-CM6A-LR,r24i1p1f1-IPSL-CM6A-LR,r10i1p1f2-CNRM,r24i1p1f1-IPSL-CM6A-LR,r16i1p1f1-NorCPM1,r10i1p1f2-CNRM,r17i1p1f1-IPSL-CM6A-LR,r10i1p1f2-CNRM,r17i1p1f1-IPSL-CM6A-LR,r21i1p1f1-NorCPM1,r3i1p1f1-IPSL-CM6A-LR,r3i1p1f1-IPSL-CM6A-LR,r19i1p1f1-EC-Earth3,r3i1p1f1-IPSL-CM6A-LR,r22i1p1f1-IPSL-CM6A-LR,r21i1p1f1-NorCPM1,r4i1p1f1-EC-Earth3,r21i1p1f1-NorCPM1,r17i1p1f1-NorCPM1,r8i1p1f2-CNRM,r22i1p1f1-NorCPM1,r23i1p1f1-NorCPM1,r14i1p1f2-CNRM,r14i1p1f2-CNRM,r14i1p1f2-CNRM,r9i1p1f2-CNRM,r11i1p1f2-CNRM,r20i1p1f1-NorCPM1
116,r10i1p1f1-MRI-ESM2-0,r4i1p1f1-IPSL-CM6A-LR,r5i1p1f1-IPSL-CM6A-LR,r15i1p1f1-NorCPM1,r10i1p1f2-CNRM,r10i1p1f2-CNRM,r16i1p1f1-NorCPM1,r10i1p1f2-CNRM,r17i1p1f1-IPSL-CM6A-LR,r17i1p1f1-IPSL-CM6A-LR,r24i1p1f1-IPSL-CM6A-LR,r15i1p1f2-CNRM,r10i1p1f2-CNRM,r17i1p1f1-IPSL-CM6A-LR,r17i1p1f1-NorCPM1,r17i1p1f1-IPSL-CM6A-LR,r21i1p1f1-NorCPM1,r22i1p1f1-IPSL-CM6A-LR,r3i1p1f1-IPSL-CM6A-LR,r14i1p1f1-NorCPM1,r3i1p1f1-IPSL-CM6A-LR,r12i1p1f1-IPSL-CM6A-LR,r25i1p1f1-MIROC6,r23i1p1f1-EC-Earth3,r27i1p1f2-CNRM,r16i1p1f1-IPSL-CM6A-LR,r21i1p1f1-NorCPM1,r3i1p1f2-CNRM,r21i1p1f1-IPSL-CM6A-LR,r4i1p1f1-EC-Earth3,r19i1p1f1-NorCPM1,r14i1p1f2-CNRM,r3i1p1f1-MRI-ESM2-0,r9i1p1f1-NorCPM1
117,r14i1p1f1-IPSL-CM6A-LR,r10i1p1f2-CNRM,r24i1p1f1-IPSL-CM6A-LR,r10i1p1f2-CNRM,r15i1p1f2-CNRM,r16i1p1f1-NorCPM1,r17i1p1f1-IPSL-CM6A-LR,r17i1p1f1-IPSL-CM6A-LR,r1i2p1f1-MRI-ESM2-0,r15i1p1f2-CNRM,r17i1p1f1-IPSL-CM6A-LR,r16i1p1f1-NorCPM1,r22i1p1f1-NorCPM1,r22i1p1f1-NorCPM1,r21i1p1f1-NorCPM1,r4i1p1f1-EC-Earth3,r2i1p1f1-NorCPM1,r21i1p1f1-NorCPM1,r22i1p1f1-IPSL-CM6A-LR,r19i1p1f1-EC-Earth3,r21i1p1f1-NorCPM1,r25i1p1f1-MIROC6,r12i1p1f1-IPSL-CM6A-LR,r3i1p1f1-EC-Earth3,r9i1p1f1-IPSL-CM6A-LR,r25i1p1f1-EC-Earth3,r9i1p1f2-CNRM,r11i1p1f2-CNRM,r20i1p1f1-IPSL-CM6A-LR,r3i1p1f1-MRI-ESM2-0,r11i1p1f2-CNRM,r11i1p1f2-CNRM,r14i1p1f2-CNRM,r9i1p1f1-MRI-ESM2-0
118,r10i1p1f2-CNRM,r6i1p1f1-NorCPM1,r10i1p1f2-CNRM,r19i1p1f1-EC-Earth3,r17i1p1f1-IPSL-CM6A-LR,r15i1p1f2-CNRM,r15i1p1f2-CNRM,r15i1p1f2-CNRM,r15i1p1f2-CNRM,r1i2p1f1-MRI-ESM2-0,r11i1p1f1-NorCPM1,r17i1p1f1-IPSL-CM6A-LR,r8i1p1f1-IPSL-CM6A-LR,r21i1p1f1-NorCPM1,r22i1p1f1-NorCPM1,r5i1p1f1-MRI-ESM2-0,r17i1p1f1-IPSL-CM6A-LR,r19i1p1f1-EC-Earth3,r21i1p1f1-NorCPM1,r17i1p1f1-IPSL-CM6A-LR,r21i1p1f1-IPSL-CM6A-LR,r21i1p1f1-IPSL-CM6A-LR,r9i1p1f2-CNRM,r12i1p1f1-IPSL-CM6A-LR,r21i1p1f1-NorCPM1,r27i1p1f2-CNRM,r2i1p1f1-NorCPM1,r9i1p1f1-MRI-ESM2-0,r11i1p1f2-CNRM,r21i1p1f1-IPSL-CM6A-LR,r9i1p1f2-CNRM,r19i1p1f1-NorCPM1,r19i1p1f1-NorCPM1,r14i1p1f2-CNRM
119,r21i1p1f1-NorCPM1,r14i1p1f1-IPSL-CM6A-LR,r6i1p1f2-CNRM,r15i1p1f2-CNRM,r16i1p1f1-NorCPM1,r17i1p1f1-IPSL-CM6A-LR,r4i1p1f1-IPSL-CM6A-LR,r26i1p1f1-NorCPM1,r11i1p1f1-NorCPM1,r11i1p1f1-NorCPM1,r15i1p1f2-CNRM,r11i1p1f1-NorCPM1,r11i1p1f1-NorCPM1,r4i1p1f1-EC-Earth3,r4i1p1f1-EC-Earth3,r2i1p1f1-NorCPM1,r4i1p1f1-EC-Earth3,r17i1p1f1-IPSL-CM6A-LR,r2i1p1f1-IPSL-CM6A-LR,r26i1p1f1-NorCPM1,r12i1p1f1-IPSL-CM6A-LR,r20i1p1f1-NorCPM1,r21i1p1f1-NorCPM1,r27i1p1f2-CNRM,r9i1p1f1-MRI-ESM2-0,r21i1p1f1-NorCPM1,r3i1p1f1-MRI-ESM2-0,r2i1p1f1-NorCPM1,r2i1p1f1-NorCPM1,r19i1p1f1-NorCPM1,r22i1p1f1-EC-Earth3,r22i1p1f1-EC-Earth3,r20i1p1f1-EC-Earth3,r21i1p1f1-IPSL-CM6A-LR
120,r5i1p1f1-IPSL-CM6A-LR,r5i1p1f1-IPSL-CM6A-LR,r15i1p1f1-IPSL-CM6A-LR,r6i1p1f2-CNRM,r14i1p1f1-IPSL-CM6A-LR,r14i1p1f1-IPSL-CM6A-LR,r2i1p1f1-NorCPM1,r2i1p1f1-NorCPM1,r19i1p1f1-NorCPM1,r6i1p1f2-CNRM,r22i1p1f1-IPSL-CM6A-LR,r24i1p1f1-IPSL-CM6A-LR,r2i1p1f1-NorCPM1,r2i1p1f1-NorCPM1,r2i1p1f1-NorCPM1,r22i1p1f1-NorCPM1,r19i1p1f1-EC-Earth3,r4i1p1f1-EC-Earth3,r17i1p1f1-IPSL-CM6A-LR,r21i1p1f1-NorCPM1,r14i1p1f1-NorCPM1,r1i1p1f1-EC-Earth3,r23i1p1f1-EC-Earth3,r5i1p1f1-MRI-ESM2-0,r25i1p1f1-IPSL-CM6A-LR,r23i1p1f1-NorCPM1,r27i1p1f2-CNRM,r9i1p1f2-CNRM,r3i1p1f1-MRI-ESM2-0,r9i1p1f2-CNRM,r20i1p1f1-EC-Earth3,r20i1p1f1-EC-Earth3,r14i1p1f1-IPSL-CM6A-LR,r21i1p1f1-NorCPM1
121,r4i1p1f1-EC-Earth3,r26i1p1f1-NorCPM1,r15i1p1f1-NorCPM1,r16i1p1f1-NorCPM1,r19i1p1f1-EC-Earth3,r2i1p1f1-NorCPM1,r21i1p1f1-IPSL-CM6A-LR,r11i1p1f1-NorCPM1,r2i1p1f1-NorCPM1,r4i1p1f1-EC-Earth3,r6i1p1f2-CNRM,r6i1p1f2-CNRM,r4i1p1f1-EC-Earth3,r11i1p1f1-NorCPM1,r16i1p1f1-IPSL-CM6A-LR,r16i1p1f1-IPSL-CM6A-LR,r22i1p1f1-NorCPM1,r14i1p1f1-IPSL-CM6A-LR,r4i1p1f1-EC-Earth3,r1i1p1f1-EC-Earth3,r1i1p1f1-EC-Earth3,r14i1p1f1-NorCPM1,r27i1p1f2-CNRM,r9i1p1f1-MRI-ESM2-0,r22i1p1f1-NorCPM1,r7i1p1f1-IPSL-CM6A-LR,r25i1p1f1-EC-Earth3,r20i1p1f1-EC-Earth3,r20i1p1f1-EC-Earth3,r9i1p1f1-NorCPM1,r9i1p1f1-NorCPM1,r9i1p1f1-NorCPM1,r8i1p1f1-IPSL-CM6A-LR,r20i1p1f1-EC-Earth3
122,r25i1p1f1-NorCPM1,r10i1p1f1-MRI-ESM2-0,r15i1p1f2-CNRM,r14i1p1f1-IPSL-CM6A-LR,r6i1p1f2-CNRM,r4i1p1f1-EC-Earth3,r6i1p1f2-CNRM,r6i1p1f2-CNRM,r6i1p1f2-CNRM,r2i1p1f1-NorCPM1,r4i1p1f1-EC-Earth3,r2i1p1f1-NorCPM1,r6i1p1f2-CNRM,r16i1p1f1-IPSL-CM6A-LR,r19i1p1f1-EC-Earth3,r19i1p1f1-EC-Earth3,r16i1p1f1-IPSL-CM6A-LR,r22i1p1f1-NorCPM1,r14i1p1f1-IPSL-CM6A-LR,r4i1p1f1-EC-Earth3,r19i1p1f1-EC-Earth3,r17i1p1f1-EC-Earth3,r17i1p1f1-EC-Earth3,r25i1p1f1-IPSL-CM6A-LR,r23i1p1f1-EC-Earth3,r9i1p1f1-MRI-ESM2-0,r23i1p1f1-NorCPM1,r3i1p1f1-MRI-ESM2-0,r9i1p1f2-CNRM,r20i1p1f1-EC-Earth3,r11i1p1f1-NorCPM1,r11i1p1f1-NorCPM1,r9i1p1f1-NorCPM1,r3i1p1f1-MRI-ESM2-0
123,r4i1p1f1-IPSL-CM6A-LR,r21i1p1f1-NorCPM1,r14i1p1f1-IPSL-CM6A-LR,r4i1p1f1-MRI-ESM2-0,r21i1p1f1-NorCPM1,r19i1p1f1-NorCPM1,r19i1p1f1-NorCPM1,r19i1p1f1-NorCPM1,r4i1p1f1-EC-Earth3,r22i1p1f1-IPSL-CM6A-LR,r2i1p1f1-NorCPM1,r4i1p1f1-EC-Earth3,r26i1p1f1-NorCPM1,r6i1p1f2-CNRM,r6i1p1f2-CNRM,r14i1p1f1-IPSL-CM6A-LR,r14i1p1f1-IPSL-CM6A-LR,r16i1p1f1-IPSL-CM6A-LR,r26i1p1f1-NorCPM1,r14i1p1f1-IPSL-CM6A-LR,r4i1p1f1-EC-Earth3,r4i1p1f1-EC-Earth3,r2i1p1f1-EC-Earth3,r17i1p1f1-EC-Earth3,r6i1p1f2-CNRM,r3i1p1f1-MRI-ESM2-0,r4i1p1f1-IPSL-CM6A-LR,r10i1p1f1-IPSL-CM6A-LR,r19i1p1f1-NorCPM1,r20i1p1f1-IPSL-CM6A-LR,r21i1p1f1-IPSL-CM6A-LR,r8i1p1f1-IPSL-CM6A-LR,r11i1p1f1-NorCPM1,r3i1p1f1-EC-Earth3
124,r27i1p1f1-NorCPM1,r15i1p1f1-NorCPM1,r20i1p1f1-IPSL-CM6A-LR,r21i1p1f1-NorCPM1,r4i1p1f1-EC-Earth3,r21i1p1f1-NorCPM1,r4i1p1f1-EC-Earth3,r4i1p1f1-EC-Earth3,r20i1p1f1-IPSL-CM6A-LR,r20i1p1f1-IPSL-CM6A-LR,r20i1p1f1-IPSL-CM6A-LR,r26i1p1f1-NorCPM1,r21i1p1f1-NorCPM1,r26i1p1f1-NorCPM1,r11i1p1f1-NorCPM1,r6i1p1f2-CNRM,r26i1p1f1-NorCPM1,r2i1p1f1-IPSL-CM6A-LR,r22i1p1f1-NorCPM1,r24i1p1f1-IPSL-CM6A-LR,r24i1p1f1-IPSL-CM6A-LR,r14i1p1f1-IPSL-CM6A-LR,r14i1p1f1-NorCPM1,r25i1p1f2-CNRM,r16i1p1f1-IPSL-CM6A-LR,r30i1p1f1-NorCPM1,r9i1p1f1-MRI-ESM2-0,r25i1p1f1-EC-Earth3,r11i1p1f1-NorCPM1,r17i1p1f1-EC-Earth3,r8i1p1f1-IPSL-CM6A-LR,r21i1p1f1-IPSL-CM6A-LR,r11i1p1f1-IPSL-CM6A-LR,r25i1p1f1-EC-Earth3
125,r2i1p1f1-EC-Earth3,r24i1p1f1-IPSL-CM6A-LR,r16i1p1f1-NorCPM1,r4i1p1f1-EC-Earth3,r19i1p1f1-NorCPM1,r6i1p1f2-CNRM,r21i1p1f1-NorCPM1,r21i1p1f1-NorCPM1,r21i1p1f1-NorCPM1,r19i1p1f1-NorCPM1,r26i1p1f1-NorCPM1,r21i1p1f1-NorCPM1,r24i1p1f1-IPSL-CM6A-LR,r8i1p1f1-IPSL-CM6A-LR,r5i1p1f1-MRI-ESM2-0,r26i1p1f1-NorCPM1,r6i1p1f2-CNRM,r17i1p1f1-EC-Earth3,r24i1p1f1-IPSL-CM6A-LR,r22i1p1f1-NorCPM1,r14i1p1f1-IPSL-CM6A-LR,r9i1p1f2-CNRM,r12i1p1f1-NorCPM1,r18i1p1f1-NorCPM1,r14i1p1f1-EC-Earth3,r23i1p1f1-EC-Earth3,r3i1p1f2-CNRM,r22i1p1f1-NorCPM1,r25i1p1f1-EC-Earth3,r11i1p1f1-NorCPM1,r4i1p1f1-EC-Earth3,r25i1p1f1-EC-Earth3,r21i1p1f1-IPSL-CM6A-LR,r11i1p1f1-IPSL-CM6A-LR
